iter	Logloss
0	0.6813517188
1	0.6702322656
2	0.6597298437
3	0.6498334375
4	0.640490625
5	0.6316528906
6	0.6233304687
7	0.6154689453
8	0.6080658203
9	0.6010925391
10	0.5944946484
11	0.5882767187
12	0.5824055078
13	0.5768655859
14	0.5716490625
15	0.5667194141
16	0.5620911328
17	0.5577276172
18	0.5536072656
19	0.5497201953
20	0.5460446875
21	0.5425814062
22	0.5393040234
23	0.5362091016
24	0.5332951563
25	0.5305341016
26	0.5279597656
27	0.5254992578
28	0.5231703906
29	0.5209775781
30	0.5189266016
31	0.5169557422
32	0.5151013672
33	0.513344375
34	0.5117098437
35	0.5101628906
36	0.5086988281
37	0.5073034375
38	0.5059980078
39	0.50476625
40	0.5035997266
41	0.5024899609
42	0.5014423437
43	0.5004451562
44	0.4995141797
45	0.4972723438
46	0.4964498438
47	0.4943980078
48	0.4925700781
49	0.4907227734
50	0.4892344922
51	0.4875702344
52	0.4859292969
53	0.484470625
54	0.4829884766
55	0.4818470313
56	0.4806464844
57	0.4795528125
58	0.4782957812
59	0.4773500391
60	0.4764425391
61	0.4753462891
62	0.4742889844
63	0.4735260937
64	0.4727871484
65	0.4720774609
66	0.4711669922
67	0.4705561719
68	0.4698629297
69	0.4689876953
70	0.4684265234
71	0.4678212109
72	0.4673271484
73	0.4666212891
74	0.4661427734
75	0.465501875
76	0.4648026563
77	0.4643909375
78	0.4638959375
79	0.4635063672
80	0.4630475781
81	0.4625565625
82	0.4620189453
83	0.4616950391
84	0.4613743359
85	0.4610319531
86	0.4607235156
87	0.4602389063
88	0.4597626953
89	0.4595109766
90	0.4591664062
91	0.4587545312
92	0.4585125
93	0.4582812891
94	0.4580632813
95	0.4578130859
96	0.4575444922
97	0.4573084375
98	0.4570830859
99	0.4567229297
100	0.4565405469
101	0.4562048828
102	0.4560009375
103	0.4557916406
104	0.4556319531
105	0.4553446484
106	0.4551522656
107	0.4548813281
108	0.4546039453
109	0.4544316797
110	0.454095625
111	0.4538960156
112	0.4537404688
113	0.4535038672
114	0.4532929297
115	0.4531601563
116	0.4528541797
117	0.4525628516
118	0.4524300391
119	0.4523058594
120	0.4521647266
121	0.4520353906
122	0.4519235938
123	0.4518153516
124	0.4516823828
125	0.4514826563
126	0.4512097656
127	0.4510942187
128	0.4509885547
129	0.4508733984
130	0.4506134766
131	0.4505081641
132	0.45027125
133	0.4500794531
134	0.4499115234
135	0.4496696484
136	0.4495525
137	0.4494485547
138	0.4490796484
139	0.4489955469
140	0.4486750781
141	0.4484528516
142	0.4483664844
143	0.4481084766
144	0.4477913672
145	0.4476607031
146	0.4475898828
147	0.4475019531
148	0.4473122656
149	0.4471222266
150	0.4470361719
151	0.4469319531
152	0.4468334766
153	0.4465151953
154	0.446438125
155	0.4463186719
156	0.4461439453
157	0.4460513672
158	0.4459665625
159	0.4457909375
160	0.4457197266
161	0.445635625
162	0.4454565625
163	0.4453889062
164	0.4453417188
165	0.4452450781
166	0.4451420313
167	0.4450876172
168	0.4448476172
169	0.4447358984
170	0.4446736719
171	0.4443871094
172	0.4442338672
173	0.4441567969
174	0.4440003125
175	0.4439430859
