iter	Passed	Remaining
0	14	14540
1	28	14405
2	43	14339
3	56	14090
4	69	13758
5	83	13805
6	96	13723
7	110	13667
8	124	13663
9	138	13682
10	151	13646
11	165	13663
12	180	13692
13	193	13647
14	208	13679
15	222	13663
16	236	13646
17	249	13623
18	263	13607
19	277	13593
20	291	13588
21	305	13559
22	318	13547
23	332	13532
24	346	13522
25	360	13523
26	375	13544
27	389	13511
28	402	13491
29	416	13470
30	430	13448
31	443	13423
32	456	13385
33	470	13353
34	483	13327
35	496	13303
36	510	13291
37	524	13276
38	537	13244
39	550	13219
40	564	13205
41	578	13186
42	591	13158
43	604	13130
44	618	13118
45	632	13119
46	646	13105
47	661	13111
48	675	13107
49	689	13105
50	704	13101
51	718	13093
52	732	13086
53	746	13079
54	760	13073
55	775	13071
56	789	13068
57	804	13060
58	818	13052
59	832	13046
60	847	13042
61	862	13043
62	876	13037
63	890	13028
64	904	13014
65	918	13004
66	932	12988
67	946	12977
68	960	12961
69	974	12949
70	988	12938
71	1002	12921
72	1017	12914
73	1030	12901
74	1044	12882
75	1058	12871
76	1072	12861
77	1087	12850
78	1101	12839
79	1115	12831
80	1129	12819
81	1144	12811
82	1158	12803
83	1173	12795
84	1187	12783
85	1201	12773
86	1215	12757
87	1230	12750
88	1244	12737
89	1258	12725
90	1272	12710
91	1286	12698
92	1300	12685
93	1314	12672
94	1329	12660
95	1343	12650
96	1357	12641
97	1372	12633
98	1386	12620
99	1401	12610
100	1415	12596
101	1429	12584
102	1443	12569
103	1457	12555
104	1471	12541
105	1485	12529
106	1499	12512
107	1513	12501
108	1527	12487
109	1541	12472
110	1556	12463
111	1569	12440
112	1582	12424
113	1596	12407
114	1610	12391
115	1623	12371
116	1638	12365
117	1652	12349
118	1666	12337
119	1680	12325
120	1694	12313
121	1708	12296
122	1722	12282
123	1737	12271
124	1750	12256
125	1764	12240
126	1777	12219
127	1791	12202
128	1804	12185
129	1817	12166
130	1833	12163
131	1847	12149
132	1864	12152
133	1878	12142
134	1892	12128
135	1906	12112
136	1920	12100
137	1935	12086
138	1949	12076
139	1963	12058
140	1978	12050
141	1992	12037
142	2005	12019
143	2021	12015
144	2037	12011
145	2050	11996
146	2064	11981
147	2078	11965
148	2092	11952
149	2108	11950
150	2123	11938
151	2137	11927
152	2152	11915
153	2166	11899
154	2180	11884
155	2193	11870
156	2208	11859
157	2222	11844
158	2236	11828
159	2250	11817
160	2265	11803
161	2278	11788
162	2293	11777
163	2307	11762
164	2321	11748
165	2335	11732
166	2349	11721
167	2364	11708
168	2379	11702
169	2394	11692
170	2409	11679
171	2422	11664
172	2437	11651
173	2451	11637
174	2464	11620
175	2478	11605
176	2493	11594
177	2508	11584
178	2522	11571
179	2537	11561
180	2553	11552
181	2567	11538
182	2580	11521
183	2595	11508
184	2610	11499
185	2623	11481
186	2638	11469
187	2651	11453
188	2665	11435
189	2679	11425
190	2693	11407
191	2706	11390
192	2721	11379
193	2734	11361
194	2747	11344
195	2761	11328
196	2775	11313
197	2790	11302
198	2805	11293
199	2820	11282
200	2835	11271
201	2849	11257
202	2864	11245
203	2878	11232
204	2892	11218
205	2907	11204
206	2922	11194
207	2936	11181
208	2950	11165
209	2964	11150
210	2979	11140
211	2993	11127
212	3008	11115
213	3022	11101
214	3037	11091
215	3052	11078
216	3066	11066
217	3080	11051
218	3094	11035
219	3109	11023
220	3124	11013
221	3137	10996
222	3151	10980
223	3167	10973
224	3182	10961
225	3196	10946
226	3209	10930
227	3223	10915
228	3236	10897
229	3249	10879
230	3263	10864
231	3277	10849
232	3290	10832
233	3304	10817
234	3317	10800
235	3330	10781
236	3343	10763
237	3357	10749
238	3370	10732
239	3383	10715
240	3397	10700
241	3410	10682
242	3424	10667
243	3437	10649
244	3450	10633
245	3463	10616
246	3476	10597
247	3490	10583
248	3503	10567
249	3517	10551
250	3530	10535
251	3543	10518
252	3556	10501
253	3570	10487
254	3584	10471
255	3598	10458
256	3614	10450
257	3629	10437
258	3644	10426
259	3660	10417
260	3674	10404
261	3689	10391
262	3702	10376
263	3716	10361
264	3731	10348
265	3746	10338
266	3760	10323
267	3775	10310
268	3788	10295
269	3802	10280
270	3817	10269
271	3831	10254
272	3845	10240
273	3859	10226
274	3873	10212
275	3887	10198
276	3901	10182
277	3914	10167
278	3928	10153
279	3941	10135
280	3955	10120
281	3968	10104
282	3981	10088
283	3996	10074
284	4010	10061
285	4024	10046
286	4037	10030
287	4051	10017
288	4065	10002
289	4080	9989
290	4095	9979
291	4110	9965
292	4124	9951
293	4138	9936
294	4152	9923
295	4166	9910
296	4180	9896
297	4194	9881
298	4209	9869
299	4223	9854
